"delay","latitude","longitude","occurrencetimestamp","direction","location","title"
0,54.4331,19.8961,"20180408074700+0200","outbound"," Gronowo","No waiting time in Gronowo (outbound)$$Keine Wartezeit in Gronowo (Ausreise)"
0,54.4345,19.8976,"20180408074700+0200","inbound"," Gronowo","No waiting time in Gronowo (inbound)$$Keine Wartezeit in Gronowo (Einreise)"
0,54.3716,20.6602,"20180408074200+0200","outbound"," Bezledy","No waiting time in Bezledy (outbound)$$Keine Wartezeit in Bezledy (Ausreise)"
0,54.3732,20.6581,"20180408074200+0200","inbound"," Bezledy","No waiting time in Bezledy (inbound)$$Keine Wartezeit in Bezledy (Einreise)"
0,54.341,22.2981,"20180408074000+0200","outbound"," Goldap","No waiting time in Goldap (outbound)$$Keine Wartezeit in Goldap (Ausreise)"
0,54.3441,22.2986,"20180408074000+0200","inbound"," Goldap","No waiting time in Goldap (inbound)$$Keine Wartezeit in Goldap (Einreise)"
0,50.2768,23.5876,"20180408073500+0200","outbound"," Hrebenne","No waiting time in Hrebenne (outbound)$$Keine Wartezeit in Hrebenne (Ausreise)"
0,54.3732,20.6581,"20180408073500+0200","inbound"," Bezledy","No waiting time in Bezledy (inbound)$$Keine Wartezeit in Bezledy (Einreise)"
0,54.3716,20.6602,"20180408073500+0200","outbound"," Bezledy","No waiting time in Bezledy (outbound)$$Keine Wartezeit in Bezledy (Ausreise)"
0,50.2722,23.5913,"20180408073500+0200","inbound"," Hrebenne","No waiting time in Hrebenne (inbound)$$Keine Wartezeit in Hrebenne (Einreise)"
0,54.4345,19.8976,"20180408073000+0200","inbound"," Gronowo","No waiting time in Gronowo (inbound)$$Keine Wartezeit in Gronowo (Einreise)"
0,54.4331,19.8961,"20180408073000+0200","outbound"," Gronowo","No waiting time in Gronowo (outbound)$$Keine Wartezeit in Gronowo (Ausreise)"
0,54.3441,22.2986,"20180408072500+0200","inbound"," Goldap","No waiting time in Goldap (inbound)$$Keine Wartezeit in Goldap (Einreise)"
0,54.341,22.2981,"20180408072500+0200","outbound"," Goldap","No waiting time in Goldap (outbound)$$Keine Wartezeit in Goldap (Ausreise)"
120,51.1793,23.8014,"20180408072300+0200","outbound","Dorohusk","Waiting time in Dorohusk (outbound)$$Wartezeit in Dorohusk (Ausreise)"
0,51.1817,23.8023,"20180408072300+0200","inbound"," Dorohusk","No waiting time in Dorohusk (inbound)$$Keine Wartezeit in Dorohusk (Einreise)"
0,54.4177,20.0599,"20180408071800+0200","outbound"," Grzechotki","No waiting time in Grzechotki (outbound)$$Keine Wartezeit in Grzechotki (Ausreise)"
0,54.4201,20.0632,"20180408071800+0200","inbound"," Grzechotki","No waiting time in Grzechotki (inbound)$$Keine Wartezeit in Grzechotki (Einreise)"
0,49.7996,22.951,"20180408070700+0200","inbound"," Medyka","No waiting time in Medyka (inbound)$$Keine Wartezeit in Medyka (Einreise)"
0,49.7998,22.944,"20180408070700+0200","outbound"," Medyka","No waiting time in Medyka (outbound)$$Keine Wartezeit in Medyka (Ausreise)"
0,49.9549,23.1107,"20180408070500+0200","outbound"," Korczowa","No waiting time in Korczowa (outbound)$$Keine Wartezeit in Korczowa (Ausreise)"
0,49.4813,22.701,"20180408070500+0200","inbound"," Kroscienki","No waiting time in Kroscienki (inbound)$$Keine Wartezeit in Kroscienki (Einreise)"
0,49.4818,22.6956,"20180408070500+0200","outbound"," Kroscienki","No waiting time in Kroscienki (outbound)$$Keine Wartezeit in Kroscienki (Ausreise)"
0,49.9555,23.1179,"20180408070500+0200","inbound"," Korczowa","No waiting time in Korczowa (inbound)$$Keine Wartezeit in Korczowa (Einreise)"
0,52.4709,23.3576,"20180408070400+0200","outbound"," Polowce","No waiting time in Polowce (outbound)$$Keine Wartezeit in Polowce (Ausreise)"
