"terminal","servicetype","departures","waitingtimeminutes","journeytimeminutes","delayreason","retrievaldate","latitude","longitude","trend"
"F","normal",5,0,60,"none/unknown","2018-02-20 09:12:57.771",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-20 09:17:32.369",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-20 09:17:32.505",50.9239,1.81604,"stable"
"UK","normal",3,0,60,"none/unknown","2018-02-20 09:42:54.586",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-20 09:42:54.721",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-20 10:13:11.477",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-20 10:13:11.613",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-20 10:43:10.543",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-20 10:43:10.697",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-20 11:12:54.802",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-20 11:12:54.953",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-20 11:42:56.617",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-20 11:42:56.755",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-20 12:13:09.788",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-20 12:13:09.934",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-20 12:42:56.561",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-20 12:42:56.726",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-20 13:12:56.139",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-20 13:12:56.286",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-20 13:42:55.519",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-20 13:42:55.664",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-20 14:13:08.509",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-20 14:13:08.642",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-20 14:17:54.038",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-20 14:17:54.173",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-20 14:42:56.499",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-20 14:42:56.632",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-20 15:12:56.687",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-20 15:12:56.828",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-20 15:33:00.408",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-20 15:33:00.561",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-20 15:42:54.465",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-20 15:42:54.595",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-20 16:13:11.112",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-20 16:13:11.245",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-20 16:42:57.604",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-20 16:42:57.741",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-20 17:12:57.048",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-20 17:12:57.18",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-20 17:42:56.369",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-20 17:42:56.5",50.9239,1.81604,"stable"
"UK","normal",7,0,60,"none/unknown","2018-02-20 18:13:11.831",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-20 18:13:12.086",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-20 18:43:10.846",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-20 18:43:10.983",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-20 19:12:54.802",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-20 19:12:54.95",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-20 19:43:11.03",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-20 19:43:11.161",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-20 20:12:57.218",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-20 20:12:57.348",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-20 20:42:57.953",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-20 20:42:58.086",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-20 21:12:55.426",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-20 21:12:55.555",50.9239,1.81604,"stable"
"UK","normal",7,0,60,"none/unknown","2018-02-20 21:42:56.434",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-20 21:42:56.564",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-20 22:12:56.796",51.0963,1.13505,"stable"
"F","normal",4,0,60,"none/unknown","2018-02-20 22:12:56.925",50.9239,1.81604,"stable"
"UK","normal",4,0,60,"none/unknown","2018-02-20 22:42:55.45",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-20 22:42:55.58",50.9239,1.81604,"stable"
"UK","normal",3,0,60,"none/unknown","2018-02-20 23:12:56.278",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-20 23:12:56.408",50.9239,1.81604,"stable"
"UK","normal",4,0,60,"none/unknown","2018-02-20 23:43:14.062",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-20 23:43:14.193",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-21 00:13:11.697",51.0963,1.13505,"stable"
"F","normal",3,0,60,"none/unknown","2018-02-21 00:13:11.829",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-21 00:42:56.451",51.0963,1.13505,"stable"
"F","normal",2,0,60,"none/unknown","2018-02-21 00:42:56.582",50.9239,1.81604,"stable"
"UK","normal",3,0,60,"none/unknown","2018-02-21 01:12:58.414",51.0963,1.13505,"stable"
"F","normal",7,0,60,"none/unknown","2018-02-21 01:12:58.546",50.9239,1.81604,"stable"
"UK","normal",3,0,60,"none/unknown","2018-02-21 01:42:57.317",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-21 01:42:57.454",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-21 02:13:11.68",51.0963,1.13505,"stable"
"F","normal",3,0,60,"none/unknown","2018-02-21 02:13:11.812",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-21 02:42:56.272",51.0963,1.13505,"stable"
"F","normal",3,0,60,"none/unknown","2018-02-21 02:42:56.402",50.9239,1.81604,"stable"
"UK","normal",3,0,60,"none/unknown","2018-02-21 03:12:58.6",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-21 03:12:58.758",50.9239,1.81604,"stable"
"UK","normal",4,0,60,"none/unknown","2018-02-21 03:42:56.2",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-21 03:42:56.33",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-21 04:13:12.216",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-21 04:13:12.347",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-21 04:42:56.198",51.0963,1.13505,"stable"
"F","normal",4,0,60,"none/unknown","2018-02-21 04:42:56.328",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-21 05:12:57.221",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-21 05:12:57.351",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-21 05:42:57.559",51.0963,1.13505,"stable"
"F","normal",7,0,60,"none/unknown","2018-02-21 05:42:57.689",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-21 06:13:12.176",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-21 06:13:12.317",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-21 06:42:56.403",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-21 06:42:56.557",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-21 07:12:59.273",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-21 07:12:59.404",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-21 07:42:56.053",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-21 07:42:56.186",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-21 07:43:49.473",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-21 07:43:49.604",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-21 08:13:12.446",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-21 08:13:12.581",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-21 08:42:57.495",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-21 08:42:57.627",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-21 08:54:39",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-21 08:54:39.13",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-21 09:12:57.187",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-21 09:12:57.316",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-21 09:42:55.587",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-21 09:42:55.709",50.9239,1.81604,"stable"
"UK","normal",7,0,60,"none/unknown","2018-02-21 10:13:11.297",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-21 10:13:11.422",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-21 10:42:59.068",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-21 10:42:59.192",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-21 11:13:00.793",51.0963,1.13505,"stable"
"F","normal",7,0,60,"none/unknown","2018-02-21 11:13:00.941",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-21 11:42:55.867",51.0963,1.13505,"stable"
"F","normal",0,0,0,"none/unknown","2018-02-21 11:42:55.999",50.9239,1.81604,"decreasing"
"UK","normal",6,0,60,"none/unknown","2018-02-21 12:12:55.764",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-21 12:12:55.907",50.9239,1.81604,"increasing"
"UK","normal",6,0,60,"none/unknown","2018-02-21 12:42:55.701",51.0963,1.13505,"stable"
"F","normal",7,0,60,"none/unknown","2018-02-21 12:42:55.856",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-21 13:14:36.235",51.0963,1.13505,"stable"
"F","normal",7,0,60,"none/unknown","2018-02-21 13:14:36.37",50.9239,1.81604,"stable"
"UK","delayed",7,30,60,"high demand","2018-02-21 13:42:58.808",51.0963,1.13505,"increasing"
"F","delayed",6,30,60,"none/unknown","2018-02-21 13:42:58.954",50.9239,1.81604,"increasing"
"UK","delayed",7,30,60,"high demand","2018-02-21 14:13:13.215",51.0963,1.13505,"stable"
"F","delayed",6,30,60,"high demand","2018-02-21 14:13:13.343",50.9239,1.81604,"stable"
"UK","delayed",6,30,60,"high demand","2018-02-21 14:42:58.444",51.0963,1.13505,"stable"
"F","delayed",7,30,60,"high demand","2018-02-21 14:42:58.577",50.9239,1.81604,"stable"
"UK","delayed",6,30,60,"high demand","2018-02-21 15:13:01.877",51.0963,1.13505,"stable"
"F","delayed",7,30,60,"high demand","2018-02-21 15:13:02.007",50.9239,1.81604,"stable"
"UK","delayed",7,0,120,"high demand","2018-02-21 15:43:01.451",51.0963,1.13505,"increasing"
"F","delayed",6,0,120,"high demand","2018-02-21 15:43:01.579",50.9239,1.81604,"increasing"
"UK","delayed",7,0,120,"high demand","2018-02-21 16:13:12.924",51.0963,1.13505,"stable"
"F","delayed",6,0,120,"high demand","2018-02-21 16:13:13.049",50.9239,1.81604,"stable"
"UK","delayed",6,0,120,"high demand","2018-02-21 16:42:57.66",51.0963,1.13505,"stable"
"F","delayed",7,0,120,"high demand","2018-02-21 16:42:57.797",50.9239,1.81604,"stable"
"UK","delayed",6,0,120,"high demand","2018-02-21 17:12:59.138",51.0963,1.13505,"stable"
"F","delayed",8,0,120,"high demand","2018-02-21 17:12:59.262",50.9239,1.81604,"stable"
"UK","delayed",7,0,120,"high demand","2018-02-21 17:42:56.22",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-21 17:42:56.345",50.9239,1.81604,"decreasing"
"UK","delayed",8,0,120,"high demand","2018-02-21 18:13:08.765",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-21 18:13:08.898",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"high demand","2018-02-21 18:42:54.492",51.0963,1.13505,"decreasing"
"F","normal",6,0,60,"none/unknown","2018-02-21 18:42:54.616",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-21 19:12:57.529",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-21 19:12:57.676",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-21 19:42:54.172",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-21 19:42:54.294",50.9239,1.81604,"stable"
"UK","normal",7,0,60,"none/unknown","2018-02-21 20:13:10.804",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-21 20:13:10.933",50.9239,1.81604,"stable"
"UK","normal",7,0,60,"none/unknown","2018-02-21 20:42:56.563",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-21 20:42:56.686",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-21 21:12:55.189",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-21 21:12:55.315",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-21 21:42:54.65",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-21 21:42:54.772",50.9239,1.81604,"stable"
"UK","normal",7,0,60,"none/unknown","2018-02-21 22:13:09.505",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-21 22:13:09.629",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-21 22:42:54.923",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-21 22:42:55.09",50.9239,1.81604,"stable"
"UK","normal",4,0,60,"none/unknown","2018-02-21 23:12:56.069",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-21 23:12:56.204",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-21 23:43:10.578",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-21 23:43:10.703",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-22 00:13:09.335",51.0963,1.13505,"stable"
"F","normal",3,0,60,"none/unknown","2018-02-22 00:13:09.459",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-22 00:42:54.491",51.0963,1.13505,"stable"
"F","normal",4,0,60,"none/unknown","2018-02-22 00:42:54.615",50.9239,1.81604,"stable"
"UK","normal",2,0,60,"none/unknown","2018-02-22 01:12:55.579",51.0963,1.13505,"stable"
"F","normal",7,0,60,"none/unknown","2018-02-22 01:12:55.703",50.9239,1.81604,"stable"
"UK","normal",3,0,60,"none/unknown","2018-02-22 01:42:54.676",51.0963,1.13505,"stable"
"F","normal",8,0,60,"none/unknown","2018-02-22 01:42:54.799",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-22 02:12:54.658",51.0963,1.13505,"stable"
"F","normal",4,0,60,"none/unknown","2018-02-22 02:12:54.78",50.9239,1.81604,"stable"
"UK","normal",7,0,60,"none/unknown","2018-02-22 02:42:54.568",51.0963,1.13505,"stable"
"F","normal",3,0,60,"none/unknown","2018-02-22 02:42:54.691",50.9239,1.81604,"stable"
"UK","normal",3,0,60,"none/unknown","2018-02-22 03:12:54.46",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-22 03:12:54.583",50.9239,1.81604,"stable"
"UK","normal",2,0,60,"none/unknown","2018-02-22 03:42:54.717",51.0963,1.13505,"stable"
"F","normal",8,0,60,"none/unknown","2018-02-22 03:42:54.84",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-22 04:12:53.819",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-22 04:12:53.941",50.9239,1.81604,"stable"
"UK","normal",7,0,60,"none/unknown","2018-02-22 04:42:55.151",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-22 04:42:55.274",50.9239,1.81604,"stable"
"UK","normal",7,0,60,"none/unknown","2018-02-22 05:12:54.136",51.0963,1.13505,"stable"
"F","normal",7,0,60,"none/unknown","2018-02-22 05:12:54.258",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-22 05:42:53.99",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-22 05:42:54.115",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-22 06:13:08.835",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-22 06:13:09.036",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-22 06:42:56.559",51.0963,1.13505,"stable"
"F","delayed",6,30,60,"high demand","2018-02-22 06:42:56.682",50.9239,1.81604,"increasing"
"UK","delayed",6,0,120,"high demand","2018-02-22 07:12:57.015",51.0963,1.13505,"increasing"
"F","delayed",7,60,60,"high demand","2018-02-22 07:12:57.139",50.9239,1.81604,"increasing"
"UK","delayed",7,0,120,"high demand","2018-02-22 07:43:13.02",51.0963,1.13505,"stable"
"F","delayed",6,60,60,"high demand","2018-02-22 07:43:13.146",50.9239,1.81604,"stable"
"UK","delayed",7,0,120,"high demand","2018-02-22 07:48:16.942",51.0963,1.13505,"stable"
"F","delayed",6,60,60,"high demand","2018-02-22 07:48:17.142",50.9239,1.81604,"stable"
"UK","delayed",6,0,120,"high demand","2018-02-22 08:13:11.834",51.0963,1.13505,"stable"
"F","delayed",7,60,60,"high demand","2018-02-22 08:13:12.034",50.9239,1.81604,"stable"
"UK","delayed",6,0,120,"high demand","2018-02-22 08:42:54.618",51.0963,1.13505,"stable"
"F","delayed",7,60,60,"high demand","2018-02-22 08:42:54.743",50.9239,1.81604,"stable"
"UK","normal",7,0,60,"none/unknown","2018-02-22 09:12:56.354",51.0963,1.13505,"decreasing"
"F","delayed",6,30,60,"high demand","2018-02-22 09:12:56.481",50.9239,1.81604,"decreasing"
"UK","normal",7,0,60,"none/unknown","2018-02-22 09:42:55.214",51.0963,1.13505,"stable"
"F","delayed",6,60,60,"high demand","2018-02-22 09:42:55.343",50.9239,1.81604,"increasing"
"UK","normal",6,0,60,"none/unknown","2018-02-22 10:13:11.141",51.0963,1.13505,"stable"
"F","delayed",6,30,60,"high demand","2018-02-22 10:13:11.285",50.9239,1.81604,"decreasing"
"UK","normal",6,0,60,"none/unknown","2018-02-22 10:42:55.53",51.0963,1.13505,"stable"
"F","delayed",7,30,60,"high demand","2018-02-22 10:42:55.689",50.9239,1.81604,"stable"
"UK","normal",7,0,60,"none/unknown","2018-02-22 11:12:56.94",51.0963,1.13505,"stable"
"F","normal",7,0,60,"none/unknown","2018-02-22 11:12:57.089",50.9239,1.81604,"decreasing"
"UK","normal",7,0,60,"none/unknown","2018-02-22 11:42:56.287",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-22 11:42:56.413",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-22 12:13:12.46",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-22 12:13:12.595",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-22 12:42:58.036",51.0963,1.13505,"stable"
"F","normal",7,0,60,"none/unknown","2018-02-22 12:42:58.182",50.9239,1.81604,"stable"
"UK","normal",7,0,60,"none/unknown","2018-02-22 13:12:57.929",51.0963,1.13505,"stable"
"F","normal",7,0,60,"none/unknown","2018-02-22 13:12:58.096",50.9239,1.81604,"stable"
"UK","normal",7,0,60,"none/unknown","2018-02-22 13:43:11.497",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-22 13:43:11.634",50.9239,1.81604,"stable"
"UK","normal",7,0,60,"none/unknown","2018-02-22 14:13:12.757",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-22 14:13:12.935",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-22 14:42:56.407",51.0963,1.13505,"stable"
"F","normal",7,0,60,"none/unknown","2018-02-22 14:42:56.529",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-22 14:47:52.204",51.0963,1.13505,"stable"
"F","normal",7,0,60,"none/unknown","2018-02-22 14:47:52.326",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-22 15:12:56.241",51.0963,1.13505,"stable"
"F","normal",7,0,60,"none/unknown","2018-02-22 15:12:56.388",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-22 15:17:23.932",51.0963,1.13505,"stable"
"F","normal",7,0,60,"none/unknown","2018-02-22 15:17:24.065",50.9239,1.81604,"stable"
"UK","normal",7,0,60,"none/unknown","2018-02-22 15:43:08.769",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-22 15:43:08.904",50.9239,1.81604,"stable"
"UK","normal",7,0,60,"none/unknown","2018-02-22 16:08:16.777",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-22 16:08:16.918",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-22 16:12:56.919",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-22 16:12:57.056",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-22 16:42:55.344",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-22 16:42:55.479",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-22 17:12:56.092",51.0963,1.13505,"stable"
"F","normal",7,0,60,"none/unknown","2018-02-22 17:12:56.225",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-22 17:42:54.606",51.0963,1.13505,"stable"
"F","normal",7,0,60,"none/unknown","2018-02-22 17:42:54.739",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-22 18:12:54.334",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-22 18:12:54.484",50.9239,1.81604,"stable"
"UK","normal",7,0,60,"none/unknown","2018-02-22 18:42:54.633",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-22 18:42:54.764",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-22 19:12:56.596",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-22 19:12:56.731",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-22 19:42:54.089",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-22 19:42:54.22",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-22 20:13:10.167",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-22 20:13:10.302",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-22 20:42:55.693",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-22 20:42:55.825",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-22 21:12:55.805",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-22 21:12:55.945",50.9239,1.81604,"stable"
"UK","normal",3,0,60,"none/unknown","2018-02-22 21:43:10.212",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-22 21:43:10.346",50.9239,1.81604,"stable"
"UK","normal",3,0,60,"none/unknown","2018-02-22 22:13:10.517",51.0963,1.13505,"stable"
"F","normal",3,0,60,"none/unknown","2018-02-22 22:13:10.652",50.9239,1.81604,"stable"
"UK","normal",4,0,60,"none/unknown","2018-02-22 22:42:56.804",51.0963,1.13505,"stable"
"F","normal",4,0,60,"none/unknown","2018-02-22 22:42:56.938",50.9239,1.81604,"stable"
"UK","normal",4,0,60,"none/unknown","2018-02-22 23:12:56.476",51.0963,1.13505,"stable"
"F","normal",2,0,60,"none/unknown","2018-02-22 23:12:56.609",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-22 23:43:11.303",51.0963,1.13505,"stable"
"F","normal",3,0,60,"none/unknown","2018-02-22 23:43:11.437",50.9239,1.81604,"stable"
"UK","normal",4,0,60,"none/unknown","2018-02-23 00:13:10.762",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-23 00:13:10.901",50.9239,1.81604,"stable"
"UK","normal",1,0,60,"none/unknown","2018-02-23 00:42:55.494",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-23 00:42:55.629",50.9239,1.81604,"stable"
"UK","normal",3,0,60,"none/unknown","2018-02-23 01:12:56.697",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-23 01:12:56.831",50.9239,1.81604,"stable"
"UK","normal",4,0,60,"none/unknown","2018-02-23 01:42:55.27",51.0963,1.13505,"stable"
"F","normal",3,0,60,"none/unknown","2018-02-23 01:42:55.42",50.9239,1.81604,"stable"
"UK","normal",4,0,60,"none/unknown","2018-02-23 02:13:11.682",51.0963,1.13505,"stable"
"F","normal",2,0,60,"none/unknown","2018-02-23 02:13:11.815",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-23 02:42:58.619",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-23 02:42:58.751",50.9239,1.81604,"stable"
