"terminal","servicetype","departures","waitingtimeminutes","journeytimeminutes","delayreason","retrievaldate","latitude","longitude","trend"
"F","delayed",6,60,60,"high demand","2018-02-01 15:12:55.715",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-01 15:42:54.682",51.0963,1.13505,"stable"
"F","delayed",5,60,60,"high demand","2018-02-01 15:42:54.824",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-01 16:13:11.547",51.0963,1.13505,"stable"
"F","delayed",6,60,60,"high demand","2018-02-01 16:13:11.691",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-01 16:43:10.763",51.0963,1.13505,"stable"
"F","delayed",6,60,60,"high demand","2018-02-01 16:43:10.909",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-01 17:12:57.925",51.0963,1.13505,"stable"
"F","delayed",7,60,60,"high demand","2018-02-01 17:12:58.081",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-01 17:42:56.53",51.0963,1.13505,"stable"
"F","delayed",7,30,60,"high demand","2018-02-01 17:42:56.67",50.9239,1.81604,"decreasing"
"UK","normal",7,0,60,"none/unknown","2018-02-01 18:13:09.559",51.0963,1.13505,"stable"
"F","delayed",6,30,60,"high demand","2018-02-01 18:13:09.699",50.9239,1.81604,"stable"
"UK","normal",7,0,60,"none/unknown","2018-02-01 18:42:54.761",51.0963,1.13505,"stable"
"F","normal",6,0,60,"high demand","2018-02-01 18:42:54.921",50.9239,1.81604,"decreasing"
"UK","delayed",6,0,120,"none/unknown","2018-02-01 19:12:56.187",51.0963,1.13505,"increasing"
"F","normal",6,0,60,"high demand","2018-02-01 19:12:56.337",50.9239,1.81604,"stable"
"UK","delayed",5,0,120,"high demand","2018-02-01 19:42:57.192",51.0963,1.13505,"stable"
"F","delayed",6,15,60,"none/unknown","2018-02-01 19:42:57.331",50.9239,1.81604,"increasing"
"UK","delayed",6,0,120,"high demand","2018-02-01 20:13:05.654",51.0963,1.13505,"stable"
"F","delayed",6,15,60,"none/unknown","2018-02-01 20:13:05.793",50.9239,1.81604,"stable"
"UK","delayed",7,0,120,"high demand","2018-02-01 20:42:54.485",51.0963,1.13505,"stable"
